codigo,ano,situacao,qtd_feminino,qtd_masculino
CALCULO C,2021,TRANCADO,0.04761904762,0.08333333333
CALCULO C,2022,APROVADO,0.5714285714,0.1666666667
CALCULO C,2022,DESISTENCIA,0.09523809524,0.04166666667
CALCULO C,2022,REPROVADO,0.2857142857,0.1666666667
CALCULO D,2018,APROVADO,0.04761904762,0.125
CALCULO D,2019,APROVADO,0.1904761905,0.125
CALCULO D,2019,DESISTENCIA,0.09523809524,0.04166666667
CALCULO D,2020,APROVADO,0.2380952381,0.2083333333
CALCULO D,2020,REPROVADO,0.09523809524,0.08333333333
CALCULO D,2021,APROVADO,0.1428571429,0.2916666667
CALCULO D,2021,REPROVADO,0.04761904762,0.08333333333
CALCULO D,2021,TRANCADO,0,0.08333333333
CALCULO D,2022,APROVADO,0.1904761905,0.1666666667
CALCULO D,2022,REPROVADO,0.1904761905,0
CALCULO D,2022,TRANCADO,0.04761904762,0.08333333333
EQUACOES DIFERENCIAIS I,2018,APROVADO,0.1428571429,0.125
EQUACOES DIFERENCIAIS I,2018,REP. MEDIA/FALTAS,0,0.08333333333
EQUACOES DIFERENCIAIS I,2018,REPROVADO,0,0.25
EQUACOES DIFERENCIAIS I,2019,APROVADO,0.3333333333,0.2083333333
EQUACOES DIFERENCIAIS I,2019,REPROVADO,0.04761904762,0.125
EQUACOES DIFERENCIAIS I,2020,APROVADO,0.1428571429,0.2916666667
EQUACOES DIFERENCIAIS I,2020,REPROVADO,0.09523809524,0.1666666667
EQUACOES DIFERENCIAIS I,2021,APROVADO,0.2380952381,0.3333333333
EQUACOES DIFERENCIAIS I,2021,REPROVADO,0.1428571429,0.1666666667
EQUACOES DIFERENCIAIS I,2021,TRANCADO,0,0.125
EQUACOES DIFERENCIAIS I,2022,APROVADO,0.5714285714,0.2083333333
EQUACOES DIFERENCIAIS I,2022,REPROVADO,0.2857142857,0.2083333333
EQUACOES DIFERENCIAIS I,2022,TRANCADO,0.1904761905,0.125
QUIMICA I,2017,APROVADO,0.09523809524,0.2916666667
QUIMICA I,2017,DESISTENCIA,0.04761904762,0.08333333333
QUIMICA I,2017,REP. MEDIA/FALTAS,0.5238095238,0.9166666667
QUIMICA I,2017,REPROVADO,0.09523809524,0.1666666667
QUIMICA I,2017,TRANCADO,0.1428571429,0.3333333333
QUIMICA I,2018,APROVADO,0.7619047619,0.4583333333
QUIMICA I,2018,DESISTENCIA,0,0.1666666667
QUIMICA I,2018,REP. MEDIA/FALTAS,0.4761904762,0.875
QUIMICA I,2018,REPROVADO,0.09523809524,0.2083333333
QUIMICA I,2018,TRANCADO,0.04761904762,0.2083333333
QUIMICA I,2019,APROVADO,0.2380952381,0.3333333333
QUIMICA I,2019,REP. MEDIA/FALTAS,0.1904761905,0.2083333333
QUIMICA I,2019,REPROVADO,0.9047619048,0.8333333333
QUIMICA I,2019,TRANCADO,0.1904761905,0.04166666667
QUIMICA I,2020,APROVADO,0.5714285714,0.7083333333
QUIMICA I,2020,REPROVADO,0.2380952381,0.5833333333
QUIMICA I,2020,TRANCADO,0.09523809524,0.04166666667
QUIMICA I,2021,APROVADO,0.7619047619,0.375
QUIMICA I,2021,REP. MEDIA/FALTAS,0.09523809524,0
QUIMICA I,2021,REPROVADO,0.4285714286,0.5833333333
QUIMICA I,2021,TRANCADO,0.1428571429,0.1666666667
QUIMICA I,2022,APROVADO,0.3333333333,0.2916666667
QUIMICA I,2022,REP. MEDIA/FALTAS,0,0.2083333333
QUIMICA I,2022,REPROVADO,0.2380952381,0.08333333333
QUIMICA I,2022,TRANCADO,0.3333333333,0.125
