codigo,ano,situacao,qtd_feminino,qtd_masculino
METODOS COMPUTACIONAIS EM ASTRONOMIA ,2018,APROVADO,0.09090909091,0.1428571429
METODOS COMPUTACIONAIS EM ASTRONOMIA ,2018,REPROVADO,0.04545454545,0
METODOS COMPUTACIONAIS EM ASTRONOMIA ,2019,APROVADO,0.2272727273,0.2380952381
METODOS COMPUTACIONAIS EM ASTRONOMIA ,2019,REPROVADO,0,0
METODOS COMPUTACIONAIS EM ASTRONOMIA ,2020,APROVADO,0.3636363636,0.2857142857
METODOS COMPUTACIONAIS EM ASTRONOMIA ,2020,REPROVADO,0,0
METODOS COMPUTACIONAIS EM ASTRONOMIA ,2021,APROVADO,0.3181818182,0.3333333333
METODOS COMPUTACIONAIS EM ASTRONOMIA ,2021,REPROVADO,0,0
METODOS COMPUTACIONAIS EM ASTRONOMIA ,2022,APROVADO,0.3636363636,0.2857142857
METODOS COMPUTACIONAIS EM ASTRONOMIA ,2022,REPROVADO,0,0
METODOS COMPUTACIONAIS EM ASTRONOMIA ,2023,APROVADO,0.2727272727,0.2380952381
METODOS COMPUTACIONAIS EM ASTRONOMIA ,2023,REPROVADO,0,0
