,codigo,ano,situacao,qtd_feminino,qtd_masculino
196,FISICA 1,2021,APROVADO,0.5238095238,0.375
198,FISICA 1,2021,REPROVADO,0.1904761905,0.25
199,FISICA 1,2021,TRANCADO,0.09523809524,0.08333333333
200,FISICA 1,2022,APROVADO,0.4761904762,0.3333333333
202,FISICA 1,2022,REP. MEDIA/FALTAS,0.09523809524,0.1666666667
203,FISICA 1,2022,REPROVADO,0.09523809524,0.125
205,FISICA 2,2017,APROVADO,0.04761904762,0.08333333333
206,FISICA 2,2017,REP. MEDIA/FALTAS,0,0.08333333333
207,FISICA 2,2017,REPROVADO,0,0.125
208,FISICA 2,2017,TRANCADO,0.04761904762,0.08333333333
209,FISICA 2,2018,APROVADO,0.09523809524,0.1666666667
211,FISICA 2,2018,REPROVADO,0.2380952381,0.08333333333
212,FISICA 2,2018,TRANCADO,0,0.125
213,FISICA 2,2019,APROVADO,0.380952381,0.25
215,FISICA 2,2019,REP. MEDIA/FALTAS,0,0.08333333333
216,FISICA 2,2019,REPROVADO,0.09523809524,0.1666666667
218,FISICA 2,2020,APROVADO,0.09523809524,0.4583333333
219,FISICA 2,2020,REPROVADO,0,0.08333333333
221,FISICA 2,2021,APROVADO,0.2857142857,0.2916666667
223,FISICA 2,2021,REPROVADO,0.09523809524,0
224,FISICA 2,2021,TRANCADO,0,0.08333333333
225,FISICA 2,2022,APROVADO,0.4761904762,0.125
226,FISICA 2,2022,REP. MEDIA/FALTAS,0.09523809524,0
227,FISICA 2,2022,REPROVADO,0.2380952381,0.08333333333
229,FISICA 3,2017,APROVADO,0,0.125
232,FISICA 3,2017,TRANCADO,0.1428571429,0
233,FISICA 3,2018,APROVADO,0.1428571429,0.08333333333
234,FISICA 3,2018,DESISTENCIA,0,0.08333333333
235,FISICA 3,2018,REPROVADO,0.04761904762,0.25
237,FISICA 3,2019,APROVADO,0.3333333333,0.2916666667
238,FISICA 3,2019,REPROVADO,0.04761904762,0.08333333333
239,FISICA 3,2019,TRANCADO,0.09523809524,0.08333333333
240,FISICA 3,2020,APROVADO,0.1428571429,0.25
241,FISICA 3,2020,REPROVADO,0,0.125
243,FISICA 3,2021,APROVADO,0.1904761905,0.2916666667
245,FISICA 3,2021,REPROVADO,0.04761904762,0.125
246,FISICA 3,2021,TRANCADO,0.04761904762,0.08333333333
247,FISICA 3,2022,APROVADO,0.4285714286,0.1666666667
249,FISICA 3,2022,REP. MEDIA/FALTAS,0.09523809524,0.08333333333
250,FISICA 3,2022,REPROVADO,0.09523809524,0.04166666667
251,FISICA 3,2022,TRANCADO,0,0.125
303,FISICA E SOCIEDADE,2017,APROVADO,0.1904761905,0.375
304,FISICA E SOCIEDADE,2017,DESISTENCIA,0.09523809524,0.08333333333
305,FISICA E SOCIEDADE,2017,REP. MEDIA/FALTAS,0.4285714286,0.375
306,FISICA E SOCIEDADE,2017,REPROVADO,0,0.25
307,FISICA E SOCIEDADE,2017,TRANCADO,0.09523809524,0.1666666667
308,FISICA E SOCIEDADE,2018,APROVADO,0.6666666667,0.5
310,FISICA E SOCIEDADE,2018,REP. MEDIA/FALTAS,0.380952381,0.625
312,FISICA E SOCIEDADE,2018,TRANCADO,0.09523809524,0.2083333333
313,FISICA E SOCIEDADE,2019,APROVADO,0.619047619,0.625
314,FISICA E SOCIEDADE,2019,REP. MEDIA/FALTAS,0.4761904762,0.4583333333
315,FISICA E SOCIEDADE,2019,REPROVADO,0.04761904762,0.08333333333
316,FISICA E SOCIEDADE,2019,TRANCADO,0.09523809524,0.04166666667
317,FISICA E SOCIEDADE,2020,APROVADO,0.619047619,0.7083333333
319,FISICA E SOCIEDADE,2020,REPROVADO,0.1904761905,0.4583333333
320,FISICA E SOCIEDADE,2020,TRANCADO,0.09523809524,0.04166666667
321,FISICA E SOCIEDADE,2021,APROVADO,0.7619047619,0.4583333333
323,FISICA E SOCIEDADE,2021,REPROVADO,0.2857142857,0.3333333333
324,FISICA E SOCIEDADE,2021,TRANCADO,0.1428571429,0.125
325,FISICA E SOCIEDADE,2022,APROVADO,0.619047619,0.4166666667
